,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
51,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1
57,,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,1
58,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
59,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0
60,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
61,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0
62,0,0,1,0,1,0,1,0,0,1,0,0,0,,1,0,0,0
63,,0,1,,1,,1,1,,1,,0,1,0,1,0,0,1
64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0
68,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0
69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1
71,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
74,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0
75,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
